Mito for pandas équivalent to generate auto python code,https://github.com/mito-ds/monorepo,
Various ml projects with python,https://practicalpython.yasoob.me/toc.html,
Jeremy Howard 2020 ml resources ,https://forums.fast.ai/t/wiki-ml-interviews-resources-advice-s/70528,
Turn cli py file to gui using gooey,Gooey · PyPI,
ML ops ,https://github.com/DataTalksClub/mlops-zoomcamp,
Ml ops,Www.madewithml.com,
Interactive web api,https://notebooks.hal9.com/?twclid=22fevu2cyq9hcm6ocb4qc2dhlc,
Sorted kaggle notebooks,https://t.co/vZkJrhba2R,
Python practice ,https://data-flair.training/python-course/,
Viz ,Explain.dalibo.com,
Kevin Patrick Murphy ,http://probml.github.io/book2,
Ml ai questions interview ,https://github.com/andrewekhalel/MLQuestions,
Mlops ,https://madewithml.com/courses/mlops/cicd/,
Creating cnn using graphics,https://github.com/alexlenail/NN-SVG,
Nlp fundamentals,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3547887,
Fast ai,https://t.co/DbvZwkJqm7,
Ai and big data JPMC,https://cpb-us-e2.wpmucdn.com/faculty.sites.uci.edu/dist/2/51/files/2018/05/JPM-2017-MachineLearningInvestments.pdf,
"Mlops basic, inter,advanced",https://t.co/dpugGhRXWf,
Awesome diffusion models,https://github.com/heejkoo/Awesome-Diffusion-Models,
Visualize json/csv/yaml files into graphs,Jsoncrack.com,
Convert jupyter notebook to a web app,https://github.com/mljar/mercury,
Cool deep learning stuff,https://deeplearning.neuromatch.io/tutorials/intro.html,
Wide variety of business topics,https://drive.google.com/drive/mobile/folders/1if09a9QyNfBRlAKey7If5preZ3BswudZ?fbclid=IwAR2QBcrO-LcQ0yUhRkhFRoGE3J5PMoPf9f6S30AsndUFBHGvVUkFa2WBIGo,
Hv plots,https://hvplot.holoviz.org/,
Build animated charts in Python,ipyvizzu-story (vizzuhq.com),
Features extraction,https://t.co/4eEhNI7rsB,
Large language model repo ,https://github.com/CarperAI/trlx,
Openai cookbook embedding ,https://t.co/w1VBv1YXzI,
MLOps right course,https://www.kdnuggets.com/2022/06/learn-mlops-free-course.html,
Transformers video,https://www.youtube.com/watch?v=VygOX3AyDQs,
ML system design,https://docs.google.com/presentation/d/1BYxwxJCb7onDemOtAZTmMc50V3tF80BflkuKZCBLUxg/mobilepresent?slide=id.g10b8c66d651_1_131,
Viz neural network ,https://t.co/HkDSDoAQNH,
Pranav Rajpurkar ,https://docs.google.com/document/d/1uvAbEhbgS_M-uDMTzmOWRlYxqCkogKRXdbKYYT98ooc/edit#,
MLOps training,https://home.mlops.community/public/videos/mlops-journey-at-wolt-2023-03-20,
AutoGpt,https://autogpt.net/autogpt-step-by-step-full-setup-guide/,
Data pipeline ,https://github.com/mlfoundations/datacomp,
Gpt in local or data lake,http://gpt4all.io,
InfiniteGPT script allows input of unlimited text into the OpenAI API. ,GitHub - emmethalm/infiniteGPT,
Multi modal chat gpt ,https://huggingface.co/docs/transformers/transformers_agents,
List of all llms ,https://github.com/eugeneyan/open-llms,
Real time sentiment analysis using alpaca API ,https://bytewax.io/blog/LLM-in-streaming,
MLOps course,https://madewithml.com/,
Learn python from scratch,Python-engineer.com,
Arc gis training n certification,http://esri.social/3wEL50OGPov,
DL BOOK Français fleuret ,http://fleuret.org/public/lbdl.pdf,
Latest computer vision,https://www.youtube.com/playlist?list=PLd3hlSJsX_In7qup928HaHmilugBGctuF,
Public APIs,https://github.com/public-apis/public-apis,
Get presentations/slides by text input,Decktopus AI,
Nice ml repo,https://github.com/ethen8181/machine-learning,
ML with Andrew notebook submission ,https://github.com/pmulard/machine-learning-specialization-andrew-ng,
Data engineering certification ,https://cloud.google.com/learn/certification/data-engineer,
Facebook training programs,https://www.facebook.com/business/learn/database-engineer-certificate-coursera,
"Data pipeline, data curation for LLMs",cleanlab.ai,
